date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:02:55	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:53%20GMT	https://s4shanmugsundar.wixsite.com/eb321d93.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/eb321d93.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:56	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:54%20GMT	https://s4shanmugsundar.wixsite.com/06cfef68.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/06cfef68.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:00	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:55%20GMT	https://s4shanmugsundar.wixsite.com/49a18e23.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/49a18e23.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:00	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:59%20GMT	https://s4shanmugsundar.wixsite.com/2467b183.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/2467b183.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:00	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:59%20GMT	https://s4shanmugsundar.wixsite.com/f9fd7cbe.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/f9fd7cbe.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:01	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:59%20GMT	https://s4shanmugsundar.wixsite.com/e142d0f4.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/e142d0f4.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:01	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:00%20GMT	https://s4shanmugsundar.wixsite.com/96a73741.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/96a73741.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:01	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:00%20GMT	https://s4shanmugsundar.wixsite.com/4c758e80.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/4c758e80.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:01	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:00%20GMT	https://s4shanmugsundar.wixsite.com/44b62fdc.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/44b62fdc.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:02	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:01%20GMT	https://s4shanmugsundar.wixsite.com/7f8c7c3e.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/7f8c7c3e.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:02	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:01%20GMT	https://s4shanmugsundar.wixsite.com/fbbc0ea4.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/fbbc0ea4.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:02	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:01%20GMT	https://s4shanmugsundar.wixsite.com/5d29307d.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/5d29307d.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:03	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:02%20GMT	https://s4shanmugsundar.wixsite.com/85af43ab.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/85af43ab.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:03	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:02%20GMT	https://s4shanmugsundar.wixsite.com/7010eb60.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/7010eb60.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:03	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:02%20GMT	https://s4shanmugsundar.wixsite.com/566bec70.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/566bec70.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:04	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:03%20GMT	https://s4shanmugsundar.wixsite.com/fc40122e.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/fc40122e.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:04	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:03%20GMT	https://s4shanmugsundar.wixsite.com/45242c23.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/45242c23.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:04	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:03%20GMT	https://s4shanmugsundar.wixsite.com/0efca64c.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/0efca64c.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:05	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:03%20GMT	https://s4shanmugsundar.wixsite.com/42ccdc69.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/42ccdc69.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:05	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:04%20GMT	https://s4shanmugsundar.wixsite.com/4ea3b970.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/4ea3b970.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:05	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:04%20GMT	https://s4shanmugsundar.wixsite.com/0ee85551.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/0ee85551.min.css	(from https://s4shanmugsundar.wixsite.com/website)
